SideOfVFD,Product, Class, Size, Unit, Power, Frequency, Part Number, Notes, Notes2, Notes3
Motor, Motor Choke (Z1/Z2), 0-100Hz (2kHz switching freq), 300, A, 420, , 27Z1F04-1010, 0.04 mH, ,
Motor, Motor Choke (Z1/Z2), 0-100Hz (2kHz switching freq), 370, A, 450, , 28Z1F04-1010, 0.03 mH, ,
Motor, Motor Choke (Z1/Z2), 0-100Hz (2kHz switching freq), 460, A, 550, , 29Z1F04-1010, 0.03 mH, ,
Motor, Motor Choke (Z1/Z2), 0-100Hz (2kHz switching freq), 570, A, 650, , 30Z1F04-1010, 0.02 mH, ,

Motor, Motor Choke (Z1/Z2), 0-1600Hz (5-16kHz switching freq), 2.6, A, 18, , 07Z2F04-1003, 3.5 mH, ,
Motor, Motor Choke (Z1/Z2), 0-1600Hz (5-16kHz switching freq), 4.1, A, 32, , 09Z2F04-1003, 2.2 mH, ,
Motor, Motor Choke (Z1/Z2), 0-1600Hz (5-16kHz switching freq), 5.8, A, 48, , 10Z2F04-1003, 1.5 mH, ,
Motor, Motor Choke (Z1/Z2), 0-1600Hz (5-16kHz switching freq), 9.5, A, 99, , 12Z2F04-1003, 0.967 mH, ,
Motor, Motor Choke (Z1/Z2), 0-1600Hz (5-16kHz switching freq), 12, A, 35, , 13Z2F04-1003, 0.766 mH, ,
Motor, Motor Choke (Z1/Z2), 0-1600Hz (5-16kHz switching freq), 16.5, A, 44, , 14Z2F04-1003, 0.557 mH, ,
Motor, Motor Choke (Z1/Z2), 0-1600Hz (5-16kHz switching freq), 24, A, 66, , 15Z2F04-1003, 0.383 mH, ,
Motor, Motor Choke (Z1/Z2), 0-1600Hz (5-16kHz switching freq), 33, A, 102, , 16Z2F04-1003, 0.278 mH, ,
Motor, Motor Choke (Z1/Z2), 0-1600Hz (5-16kHz switching freq), 42, A, 115, , 17Z2F04-1003, 0.219 mH, ,
Motor, Motor Choke (Z1/Z2), 0-1600Hz (5-16kHz switching freq), 50, A, 92, , 18Z2F04-1003, 0.184 mH, ,
Motor, Motor Choke (Z1/Z2), 0-1600Hz (5-16kHz switching freq), 60, A, 124, , 19Z2F04-1003, 0.153 mH, ,
Motor, Motor Choke (Z1/Z2), 0-1600Hz (5-16kHz switching freq), 75, A, 152, , 20Z2F04-1003, 0.123 mH, ,
Motor, Motor Choke (Z1/Z2), 0-1600Hz (5-16kHz switching freq), 90, A, 147, , 21Z2F04-1003, 0.102 mH, ,
Motor, Motor Choke (Z1/Z2), 0-1600Hz (5-16kHz switching freq), 115, A, 224, , 22Z2F04-1003, 0.08 mH, ,
Motor, Motor Choke (Z1/Z2), 0-1600Hz (5-16kHz switching freq), 150, A, 264, , 23Z2F04-1003, 0.082 mH, ,
Motor, Motor Choke (Z1/Z2), 0-1600Hz (5-16kHz switching freq), 180, A, 390, , 24Z2F04-1003, 0.068 mH, ,
Motor, Motor Choke (Z1/Z2), 0-1600Hz (5-16kHz switching freq), 210, A, 430, , 25Z2F04-1003, 0.058 mH, ,
Motor, Motor Choke (Z1/Z2), 0-1600Hz (5-16kHz switching freq), 250, A, 492, , 26Z2F04-1003, 0.049 mH, ,
Motor, Motor Choke (Z1/Z2), 0-1600Hz (5-8kHz switching freq), 300, A, 515, , 27Z2F04-1003, 0.041 mH, ,
Motor, Motor Choke (Z1/Z2), 0-1600Hz (5-8kHz switching freq), 370, A, 515, , 28Z2F04-1003, 0.033 mH, ,
Motor, Motor Choke (Z1/Z2), 0-1600Hz (5-8kHz switching freq), 460, A, 777, , 29Z2F04-1003, 0.027 mH, ,
Motor, Motor Choke (Z1/Z2), 0-1600Hz (5-8kHz switching freq), 570, A, 963, , 30Z2F04-1003, 0.021 mH, ,
